jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10011,0.0,0.361,0.711,0.012,0.136
10012,0.0,0.368,0.711,0.012,0.136
10013,0.0,0.375,0.711,0.012,0.136
10014,0.0,0.382,0.711,0.012,0.136
10015,0.004,0.361,0.69,0.025,0.134
10016,0.0,0.354,0.711,0.012,0.134
10017,0.0,0.361,0.711,0.012,0.134
10018,0.0,0.368,0.711,0.012,0.134
10019,0.0,0.375,0.711,0.012,0.134
10022,0.001,0.382,0.753,0.012,0.133
10023,0.001,0.389,0.753,0.012,0.132
10024,0.001,0.396,0.753,0.012,0.132
10025,0.001,0.403,0.753,0.012,0.132
10026,0.001,0.41,0.753,0.012,0.132
10027,0.001,0.417,0.753,0.012,0.132
10028,0.001,0.424,0.753,0.012,0.132
10029,0.001,0.431,0.753,0.012,0.132
10030,0.001,0.438,0.753,0.012,0.132
10031,0.001,0.444,0.753,0.012,0.132
10032,0.001,0.451,0.753,0.012,0.132
10033,0.001,0.458,0.753,0.012,0.132
10034,0.001,0.465,0.753,0.012,0.132
10035,0.001,0.472,0.753,0.012,0.132
10037,0.0,0.458,0.763,0.012,0.13
10040,0.0,0.444,0.773,0.012,0.129
10041,0.0,0.451,0.773,0.012,0.129
10042,0.0,0.458,0.773,0.012,0.129
10043,0.0,0.465,0.773,0.012,0.129
10046,0.003,0.451,0.753,0.025,0.14
10050,0.0,0.424,0.775,0.012,0.139
10051,0.0,0.431,0.775,0.012,0.139
10052,0.0,0.438,0.775,0.012,0.139
10053,0.0,0.444,0.775,0.012,0.139
10059,0.004,0.417,0.775,0.1,0.138
10060,0.0,0.417,0.773,0.012,0.138
10061,0.0,0.424,0.773,0.012,0.138
10062,0.0,0.431,0.773,0.012,0.138
10063,0.0,0.438,0.773,0.012,0.138
10065,0.0,0.444,0.763,0.012,0.136
10066,0.0,0.451,0.763,0.012,0.136
10071,0.0,0.431,0.763,0.012,0.131
10072,0.0,0.438,0.763,0.012,0.131
10073,0.0,0.444,0.763,0.012,0.131
10074,0.0,0.451,0.763,0.012,0.131
10077,0.0,0.431,0.763,0.012,0.128
10078,0.009,0.431,0.773,0.025,0.128
10079,0.005,0.424,0.753,0.025,0.13
10080,0.0,0.424,0.794,0.012,0.131
10081,0.0,0.431,0.794,0.012,0.131
10082,0.0,0.438,0.794,0.012,0.131
10083,0.0,0.444,0.794,0.012,0.131
10084,0.003,0.451,0.794,0.025,0.131
10086,0.001,0.451,0.796,0.012,0.13
10087,0.003,0.458,0.773,0.025,0.129
10089,0.004,0.458,0.763,0.025,0.131
10091,0.0,0.451,0.773,0.012,0.13
10093,0.0,0.444,0.775,0.012,0.13
10096,0.0,0.396,0.805,0.012,0.129
10097,0.0,0.403,0.805,0.012,0.129
10098,0.0,0.41,0.805,0.012,0.129
10099,0.0,0.417,0.805,0.012,0.129
10100,0.001,0.424,0.794,0.012,0.128
10101,0.001,0.41,0.721,0.012,0.125
10102,0.001,0.417,0.721,0.012,0.125
10103,0.0,0.424,0.711,0.012,0.125
10105,0.0,0.417,0.658,0.012,0.124
10318,0.0,0.396,0.753,0.05,0.117
10319,0.0,0.403,0.753,0.025,0.116
10327,0.007,0.306,0.759,0.025,0.133
10340,0.007,0.285,0.786,0.012,0.132
10343,0.0,0.285,0.764,0.025,0.13
10344,0.0,0.292,0.764,0.025,0.13
10345,0.0,0.299,0.764,0.025,0.13
10346,0.0,0.306,0.764,0.025,0.13
10347,0.0,0.312,0.764,0.025,0.13
10354,0.0,0.292,0.773,0.012,0.128
10684,0.0,0.333,0.784,0.1,0.118
10688,0.0,0.319,0.785,0.012,0.118
10689,0.0,0.326,0.785,0.012,0.118
10690,0.0,0.333,0.785,0.012,0.118
10691,0.0,0.34,0.785,0.012,0.118
10693,0.0,0.319,0.784,0.012,0.118
10694,0.0,0.326,0.784,0.012,0.118
10695,0.0,0.333,0.784,0.012,0.118
10696,0.0,0.34,0.784,0.012,0.118
10698,0.001,0.347,0.783,0.1,0.117
10727,0.0,0.389,0.773,0.025,0.115
10749,0.001,0.493,0.742,0.012,0.114
