jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10492,0.0,0.118,0.277,0.003,0.107
10493,0.009,0.118,0.279,0.095,0.108
10495,0.0,0.118,0.279,0.006,0.108
10496,0.0,0.118,0.279,0.012,0.108
10497,0.0,0.118,0.277,0.012,0.108
10498,0.0,0.118,0.284,0.003,0.108
10499,0.0,0.118,0.277,0.006,0.107
10500,0.0,0.118,0.277,0.006,0.107
10501,0.0,0.118,0.277,0.006,0.107
10502,0.028,0.118,0.277,0.19,0.107
10503,0.041,0.123,0.277,0.19,0.107
10504,0.001,0.127,0.277,0.003,0.107
10505,0.0,0.127,0.279,0.006,0.107
10508,0.0,0.127,0.28,0.003,0.107
10509,0.0,0.127,0.282,0.006,0.107
10510,0.001,0.127,0.28,0.003,0.107
10511,0.0,0.127,0.28,0.003,0.107
10512,0.0,0.127,0.282,0.006,0.107
10513,0.001,0.127,0.282,0.033,0.107
10514,0.0,0.127,0.301,0.071,0.108
10515,0.0,0.127,0.341,0.054,0.107
10535,0.006,0.024,0.166,0.11,0.011
10536,0.0,0.024,0.228,0.11,0.012
10537,0.0,0.028,0.228,0.11,0.012
10538,0.0,0.033,0.228,0.11,0.012
10539,0.0,0.038,0.228,0.11,0.012
10540,0.001,0.132,0.353,0.19,0.107
10544,0.001,0.132,0.228,0.033,0.107
10545,0.011,0.132,0.247,0.012,0.107
10546,0.011,0.137,0.247,0.012,0.107
10547,0.0,0.142,0.247,0.003,0.107
10548,0.0,0.146,0.247,0.006,0.107
10549,0.0,0.142,0.247,0.006,0.106
10550,0.0,0.146,0.247,0.19,0.106
10551,0.001,0.151,0.247,0.19,0.106
10552,0.001,0.151,0.25,0.19,0.106
10553,0.0,0.156,0.25,0.19,0.106
10554,0.001,0.16,0.25,0.19,0.106
10558,0.0,0.146,0.252,0.003,0.106
10559,0.0,0.146,0.248,0.048,0.106
10560,0.0,0.151,0.14,0.003,0.106
10561,0.0,0.156,0.14,0.006,0.106
10562,0.0,0.156,0.14,0.071,0.106
10563,0.0,0.156,0.181,0.071,0.106
10564,0.0,0.156,0.221,0.003,0.106
10565,0.0,0.16,0.221,0.003,0.106
10566,0.001,0.165,0.14,0.036,0.106
10567,0.0,0.165,0.16,0.003,0.106
10568,0.0,0.17,0.16,0.003,0.106
10569,0.0,0.175,0.16,0.006,0.106
10570,0.0,0.17,0.078,0.012,0.106
10571,0.0,0.165,0.079,0.054,0.106
10572,0.0,0.16,0.078,0.012,0.106
10573,0.0,0.156,0.073,0.012,0.106
10574,0.0,0.156,0.079,0.003,0.106
10575,0.0,0.16,0.079,0.003,0.106
10576,0.0,0.165,0.079,0.071,0.106
10577,0.0,0.17,0.079,0.003,0.106
10578,0.0,0.17,0.12,0.003,0.106
10579,0.029,0.175,0.073,0.19,0.106
10580,0.0,0.179,0.073,0.19,0.106
10581,0.067,0.184,0.073,0.19,0.106
10582,0.0,0.189,0.073,0.012,0.106
10583,0.0,0.189,0.073,0.012,0.106
10584,0.0,0.189,0.052,0.012,0.105
10585,0.0,0.189,0.052,0.071,0.105
10586,0.0,0.193,0.052,0.012,0.105
10587,0.0,0.189,0.052,0.012,0.105
10588,0.0,0.189,0.052,0.012,0.105
10594,0.0,0.203,0.049,0.012,0.105
10595,0.0,0.208,0.047,0.003,0.105
10598,0.002,0.212,0.0,0.003,0.105
10599,0.003,0.217,0.0,0.003,0.105
10601,0.002,0.222,0.0,0.003,0.105
10603,0.003,0.231,0.0,0.003,0.105
10605,0.001,0.236,0.0,0.119,0.105
10879,0.0,0.052,0.137,0.015,0.118
10880,0.0,0.052,0.083,0.015,0.116
10881,0.001,0.052,0.083,0.015,0.116
10882,0.001,0.052,0.091,0.024,0.116
10883,0.0,0.052,0.105,0.003,0.116
10884,0.001,0.052,0.093,0.024,0.115
10885,0.036,0.052,0.098,0.048,0.115
10886,0.036,0.052,0.125,0.048,0.119
10887,0.17,0.052,0.139,0.19,0.123
10888,0.0,0.057,0.139,0.009,0.121
10889,0.033,0.057,0.113,0.048,0.12
10890,0.0,0.057,0.135,0.006,0.124
