jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10000,0.0,0.007,0.157,0.007,0.05
10001,0.0,0.01,0.157,0.007,0.05
10002,0.0,0.01,0.164,0.007,0.05
10003,0.0,0.007,0.157,0.007,0.05
10004,0.0,0.01,0.157,0.007,0.05
10005,0.0,0.007,0.157,0.007,0.05
10006,0.0,0.007,0.157,0.007,0.05
10007,0.0,0.01,0.157,0.007,0.05
10008,0.0,0.003,0.157,0.007,0.05
10009,0.0,0.007,0.157,0.007,0.05
10010,0.0,0.01,0.157,0.007,0.05
10011,0.0,0.007,0.157,0.007,0.05
10012,0.0,0.007,0.157,0.007,0.05
10013,0.0,0.01,0.157,0.007,0.05
10014,0.0,0.007,0.157,0.007,0.05
10015,0.0,0.007,0.157,0.007,0.05
10016,0.0,0.01,0.157,0.007,0.05
10017,0.0,0.007,0.164,0.007,0.05
10018,0.0,0.007,0.157,0.007,0.05
10019,0.0,0.01,0.157,0.007,0.05
10020,0.0,0.013,0.157,0.007,0.05
10021,0.0,0.007,0.164,0.007,0.05
10028,0.0,0.01,0.157,0.007,0.05
10029,0.0,0.007,0.157,0.007,0.05
10030,0.0,0.01,0.157,0.007,0.05
10031,0.0,0.007,0.164,0.007,0.05
10032,0.0,0.007,0.157,0.007,0.05
10033,0.0,0.01,0.157,0.007,0.05
10034,0.0,0.007,0.164,0.007,0.05
10035,0.0,0.007,0.157,0.007,0.05
10036,0.0,0.01,0.157,0.007,0.05
10037,0.0,0.007,0.164,0.007,0.05
10038,0.0,0.007,0.157,0.007,0.05
10039,0.0,0.01,0.157,0.007,0.05
10040,0.0,0.007,0.164,0.007,0.05
10041,0.0,0.007,0.157,0.007,0.05
10042,0.0,0.01,0.157,0.007,0.05
10043,0.0,0.007,0.164,0.007,0.05
10044,0.0,0.007,0.157,0.007,0.05
10045,0.0,0.01,0.157,0.007,0.05
10046,0.0,0.007,0.157,0.007,0.05
10047,0.0,0.007,0.157,0.007,0.05
10048,0.0,0.01,0.157,0.007,0.05
10049,0.0,0.007,0.157,0.007,0.05
10050,0.0,0.007,0.157,0.007,0.05
10051,0.0,0.01,0.157,0.007,0.05
10052,0.0,0.007,0.164,0.007,0.05
10053,0.0,0.007,0.157,0.007,0.05
10054,0.0,0.01,0.157,0.007,0.05
10055,0.0,0.007,0.164,0.007,0.05
10056,0.0,0.007,0.157,0.007,0.05
10057,0.0,0.01,0.157,0.007,0.05
10058,0.0,0.007,0.164,0.007,0.05
10059,0.0,0.007,0.157,0.007,0.05
10060,0.0,0.01,0.157,0.007,0.05
10061,0.0,0.007,0.157,0.007,0.05
10062,0.0,0.007,0.157,0.007,0.05
10063,0.0,0.01,0.157,0.007,0.05
10064,0.0,0.007,0.157,0.007,0.05
10065,0.0,0.007,0.157,0.007,0.05
10066,0.0,0.01,0.157,0.007,0.05
10073,0.0,0.003,0.157,0.007,0.05
10074,0.0,0.007,0.157,0.007,0.05
10075,0.0,0.003,0.157,0.007,0.05
10076,0.0,0.007,0.157,0.007,0.05
10077,0.0,0.007,0.157,0.007,0.05
10078,0.0,0.007,0.157,0.007,0.05
10079,0.0,0.01,0.157,0.007,0.05
10080,0.0,0.007,0.164,0.007,0.05
10081,0.0,0.007,0.157,0.007,0.05
10082,0.0,0.01,0.157,0.007,0.05
