jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10001,0.0,0.002,0.674,0.028,0.003
10002,0.0,0.002,0.658,0.007,0.003
10003,0.0,0.002,0.658,0.028,0.003
10005,0.0,0.002,0.653,0.028,0.003
10008,0.0,0.01,0.684,0.028,0.017
10009,0.0,0.002,0.694,0.028,0.003
10010,0.0,0.002,0.71,0.007,0.003
10011,0.019,0.061,0.71,0.056,0.063
10012,0.0,0.002,0.689,0.007,0.003
10014,0.0,0.002,0.684,0.007,0.003
10016,0.0,0.002,0.689,0.028,0.003
10017,0.0,0.002,0.705,0.007,0.003
10018,0.002,0.069,0.71,0.056,0.063
10019,0.0,0.002,0.679,0.007,0.003
10020,0.0,0.002,0.674,0.028,0.003
10021,0.0,0.002,0.689,0.007,0.003
10022,0.0,0.002,0.668,0.028,0.003
10023,0.0,0.002,0.689,0.007,0.003
10026,0.0,0.002,0.705,0.007,0.003
10027,0.0,0.002,0.668,0.007,0.003
10028,0.0,0.002,0.684,0.028,0.003
10029,0.0,0.002,0.71,0.007,0.003
10030,0.0,0.002,0.705,0.007,0.003
10031,0.0,0.002,0.715,0.028,0.003
10032,0.0,0.002,0.71,0.028,0.003
10033,0.0,0.002,0.731,0.007,0.003
10034,0.0,0.002,0.694,0.007,0.003
10035,0.0,0.002,0.689,0.007,0.003
10037,0.0,0.002,0.715,0.028,0.003
10038,0.0,0.002,0.72,0.007,0.003
10039,0.0,0.002,0.715,0.028,0.003
10040,0.0,0.002,0.736,0.007,0.003
10041,0.0,0.071,0.715,0.007,0.062
10042,0.0,0.002,0.694,0.007,0.003
10043,0.0,0.005,0.689,0.007,0.017
10044,0.0,0.002,0.694,0.028,0.003
10045,0.0,0.002,0.715,0.056,0.0
10046,0.0,0.002,0.71,0.007,0.003
10047,0.0,0.002,0.715,0.007,0.003
10048,0.0,0.005,0.684,0.007,0.017
10049,0.0,0.002,0.653,0.007,0.003
10050,0.0,0.002,0.705,0.007,0.003
10051,0.0,0.002,0.674,0.028,0.003
10052,0.003,0.029,0.694,0.028,0.039
10053,0.0,0.002,0.658,0.007,0.003
10054,0.0,0.002,0.684,0.007,0.003
10055,0.002,0.029,0.689,0.028,0.039
10056,0.0,0.002,0.684,0.007,0.003
10058,0.0,0.005,0.694,0.007,0.017
10061,0.0,0.005,0.674,0.007,0.017
10063,0.0,0.007,0.674,0.007,0.017
10064,0.0,0.002,0.653,0.007,0.003
10065,0.0,0.005,0.658,0.007,0.017
10066,0.0,0.007,0.658,0.007,0.017
10067,0.0,0.005,0.71,0.007,0.017
10068,0.0,0.007,0.71,0.007,0.017
10069,0.0,0.059,0.694,0.007,0.062
10070,0.0,0.005,0.689,0.007,0.017
10071,0.0,0.005,0.689,0.007,0.017
10072,0.0,0.007,0.689,0.007,0.017
10073,0.0,0.01,0.689,0.007,0.017
10074,0.0,0.005,0.684,0.007,0.017
10075,0.0,0.005,0.684,0.007,0.017
10076,0.0,0.005,0.684,0.007,0.017
10077,0.0,0.005,0.674,0.007,0.017
10078,0.0,0.007,0.674,0.007,0.017
10079,0.0,0.007,0.679,0.007,0.017
10080,0.0,0.002,0.694,0.007,0.003
10081,0.0,0.005,0.674,0.056,0.017
10082,0.0,0.007,0.674,0.007,0.017
10083,0.0,0.002,0.679,0.007,0.003
10085,0.0,0.007,0.684,0.056,0.017
10086,0.0,0.01,0.684,0.056,0.017
10087,0.0,0.012,0.679,0.056,0.017
10088,0.0,0.015,0.679,0.056,0.017
10089,0.0,0.017,0.679,0.056,0.017
10090,0.0,0.02,0.679,0.056,0.017
10091,0.0,0.022,0.679,0.056,0.017
10092,0.0,0.025,0.679,0.056,0.017
10093,0.0,0.027,0.679,0.007,0.017
10094,0.0,0.027,0.684,0.007,0.017
10095,0.0,0.027,0.679,0.007,0.017
10096,0.0,0.029,0.679,0.007,0.017
10097,0.0,0.027,0.689,0.007,0.017
10098,0.0,0.029,0.689,0.007,0.017
10099,0.0,0.059,0.694,0.007,0.061
10100,0.0,0.029,0.694,0.007,0.017
10101,0.0,0.032,0.694,0.007,0.017
10102,0.0,0.034,0.694,0.007,0.017
10103,0.0,0.037,0.694,0.007,0.017
10104,0.0,0.039,0.694,0.007,0.017
10105,0.0,0.002,0.694,0.007,0.003
10106,0.005,0.061,0.694,0.056,0.06
10107,0.0,0.032,0.699,0.007,0.017
10108,0.0,0.029,0.689,0.021,0.039
10109,0.0,0.002,0.689,0.007,0.003
10110,0.0,0.002,0.705,0.007,0.0
10111,0.0,0.002,0.71,0.007,0.003
10112,0.0,0.002,0.689,0.007,0.003
10113,0.0,0.027,0.699,0.007,0.017
10114,0.0,0.002,0.705,0.007,0.003
10115,0.0,0.061,0.71,0.007,0.06
10116,0.0,0.002,0.699,0.007,0.003
10117,0.0,0.027,0.705,0.007,0.017
10118,0.0,0.027,0.71,0.007,0.017
10119,0.0,0.002,0.715,0.007,0.003
10120,0.0,0.061,0.699,0.007,0.06
10121,0.0,0.002,0.699,0.007,0.003
10122,0.0,0.027,0.71,0.007,0.017
10123,0.0,0.002,0.715,0.007,0.003
10124,0.0,0.002,0.705,0.007,0.003
10125,0.0,0.002,0.71,0.007,0.003
10126,0.0,0.027,0.715,0.007,0.017
10127,0.0,0.029,0.71,0.007,0.017
10128,0.0,0.002,0.699,0.007,0.003
10129,0.0,0.027,0.699,0.007,0.017
10130,0.0,0.029,0.699,0.007,0.017
10131,0.0,0.032,0.699,0.007,0.017
10132,0.0,0.034,0.699,0.007,0.017
10133,0.0,0.029,0.699,0.028,0.039
10134,0.0,0.002,0.699,0.007,0.003
10135,0.0,0.061,0.699,0.007,0.06
10136,0.0,0.002,0.694,0.007,0.0
10137,0.0,0.005,0.689,0.007,0.0
10138,0.0,0.007,0.689,0.056,0.0
10139,0.0,0.002,0.699,0.007,0.003
10140,0.0,0.002,0.705,0.007,0.003
10142,0.0,0.027,0.674,0.007,0.017
10143,0.0,0.029,0.674,0.007,0.017
10144,0.0,0.061,0.684,0.007,0.059
10145,0.0,0.005,0.674,0.007,0.0
10146,0.0,0.005,0.679,0.007,0.0
10147,0.0,0.002,0.684,0.014,0.003
10148,0.0,0.027,0.694,0.056,0.017
10149,0.003,0.002,0.694,0.007,0.0
10150,0.003,0.005,0.694,0.007,0.0
10151,0.001,0.007,0.694,0.007,0.0
10152,0.0,0.01,0.694,0.007,0.0
10153,0.003,0.012,0.694,0.007,0.0
10154,0.001,0.015,0.694,0.007,0.0
10155,0.003,0.015,0.699,0.007,0.0
10156,0.003,0.017,0.699,0.007,0.0
10157,0.0,0.061,0.689,0.007,0.059
10158,0.0,0.061,0.689,0.007,0.059
10159,0.0,0.027,0.637,0.007,0.017
10160,0.0,0.061,0.684,0.007,0.059
10165,0.0,0.002,0.679,0.007,0.003
10166,0.0,0.002,0.689,0.007,0.003
10167,0.0,0.064,0.689,0.014,0.059
