jobid,node_hours,queue_state,load,#nodes,rem_node-hours
10000,0.0,0.069,0.429,0.008,0.051
10001,0.0,0.073,0.429,0.008,0.051
10002,0.0,0.077,0.429,0.008,0.051
10097,0.0,0.011,0.434,0.008,0.052
10098,0.003,0.011,0.434,0.117,0.052
10099,0.001,0.04,0.52,0.07,0.143
10100,0.002,0.004,0.52,0.062,0.001
10107,0.0,0.04,0.509,0.008,0.145
10108,0.007,0.04,0.509,0.125,0.144
10109,0.007,0.044,0.509,0.125,0.144
10110,0.007,0.047,0.509,0.125,0.144
10111,0.007,0.051,0.509,0.125,0.144
10112,0.009,0.055,0.509,0.125,0.144
10113,0.009,0.058,0.509,0.125,0.144
10114,0.009,0.062,0.509,0.125,0.144
10115,0.009,0.066,0.509,0.125,0.144
10116,0.015,0.069,0.509,0.125,0.144
10117,0.015,0.073,0.509,0.125,0.144
10118,0.015,0.077,0.509,0.125,0.144
10119,0.015,0.08,0.509,0.125,0.144
10124,0.0,0.004,0.463,0.031,0.001
10125,0.0,0.004,0.463,0.031,0.001
10126,0.0,0.004,0.463,0.031,0.001
10127,0.0,0.004,0.463,0.031,0.001
10131,0.0,0.004,0.434,0.016,0.001
10133,0.0,0.004,0.434,0.016,0.001
10136,0.0,0.004,0.434,0.016,0.001
10137,0.003,0.018,0.446,0.117,0.052
10139,0.0,0.004,0.434,0.031,0.001
10140,0.0,0.004,0.474,0.031,0.001
10141,0.0,0.088,0.474,0.016,0.142
10142,0.0,0.004,0.474,0.008,0.046
10143,0.001,0.088,0.474,0.031,0.142
10144,0.001,0.091,0.474,0.07,0.142
10145,0.0,0.004,0.474,0.031,0.001
10146,0.0,0.095,0.474,0.016,0.142
10147,0.0,0.099,0.474,0.016,0.142
10148,0.0,0.088,0.463,0.016,0.142
10149,0.0,0.088,0.463,0.008,0.142
10150,0.0,0.091,0.463,0.008,0.141
10151,0.0,0.095,0.463,0.008,0.141
10152,0.0,0.099,0.463,0.008,0.141
10153,0.0,0.095,0.474,0.008,0.141
10154,0.0,0.091,0.474,0.008,0.141
10155,0.0,0.095,0.463,0.008,0.141
10156,0.0,0.099,0.463,0.008,0.141
10157,0.0,0.102,0.463,0.008,0.141
10158,0.0,0.106,0.463,0.008,0.141
10159,0.0,0.102,0.474,0.008,0.141
10160,0.0,0.106,0.474,0.008,0.141
10161,0.0,0.106,0.469,0.008,0.141
10162,0.0,0.109,0.469,0.008,0.141
10163,0.0,0.099,0.469,0.008,0.141
10164,0.0,0.095,0.474,0.008,0.141
10165,0.0,0.088,0.463,0.008,0.141
10166,0.0,0.088,0.463,0.016,0.141
10167,0.001,0.018,0.463,0.117,0.052
10168,0.0,0.091,0.463,0.016,0.141
10169,0.0,0.088,0.474,0.008,0.141
10170,0.0,0.091,0.474,0.008,0.141
10171,0.004,0.095,0.474,0.125,0.141
10261,0.0,0.015,0.571,0.008,0.053
10290,0.0,0.007,0.434,0.008,0.051
10291,0.0,0.007,0.429,0.008,0.051
10292,0.0,0.007,0.434,0.008,0.051
10293,0.0,0.007,0.434,0.008,0.051
10294,0.0,0.007,0.434,0.008,0.051
10295,0.0,0.007,0.44,0.008,0.051
10296,0.0,0.007,0.446,0.008,0.051
10297,0.0,0.007,0.44,0.008,0.051
10298,0.0,0.007,0.44,0.008,0.051
10299,0.0,0.007,0.434,0.008,0.051
10300,0.0,0.007,0.434,0.008,0.051
10529,0.001,0.004,0.514,0.062,0.046
10530,0.0,0.033,0.52,0.031,0.144
10531,0.0,0.004,0.497,0.062,0.046
10532,0.0,0.004,0.497,0.062,0.046
